from,to,DOI_From,paradigm,DOI_to,FirstAu,Year
"A MULTI-TAXA FUNCTIONAL DIVERSITY ASSESSMENT OF THE EFFECTS OF ECO-ESTATE DEVELOPMENT IN THE MIXED LAND-USE MOSAIC OF THE KWAZULU-NATAL NORTH COAST, SOUTH AFRICA","A MULTI-TAXA FUNCTIONAL DIVERSITY ASSESSMENT OF THE EFFECTS OF ECO-ESTATE DEVELOPMENT IN THE MIXED LAND-USE MOSAIC OF THE KWAZULU-NATAL NORTH COAST, SOUTH AFRICA",10.1016/J.LANDURBPLAN.2019.103650,in,10.1016/J.ECOLIND.2019.04.004,ALEXANDER,2019
A PARCEL-SCALE COASTAL FLOOD FORECASTING PROTOTYPE FOR A SOUTHERN CALIFORNIA URBANIZED EMBAYMENT,INTEGRATING CLIMATE CHANGE FACTORS INTO CHINA'S DEVELOPMENT POLICY: ADAPTATION STRATEGIES AND MITIGATION TO ENVIRONMENTAL CHANGE,10.2112/JCOASTRES-D-12-00114.1,for,10.1016/J.COASTALENG.2011.01.011,GALLIEN,2011
AIR CONDITIONING THE ARABIAN PENINSULA,ASSESSING URBAN FLOODING VULNERABILITY WITH AN EMERGY APPROACH,10.1017/S0020743818000570,of,10.1080/13602365.2015.1010095,CHANG,2015
AN ANIMAL GEOGRAPHY OF AVIAN FORAGING COMPETITION ON THE SUSSEX COAST OF ENGLAND,GULLS IN URBAN ENVIRONMENTS: LANDSCAPE-LEVEL MANAGEMENT TO REDUCE CONFLICT,10.2112/08-1087.1,in,10.1016/S0169-2046(97)00037-6,BELANT,1997
AN ULTRA-SPATIALLY RESOLVED METHOD TO QUALI-QUANTITATIVE MONITOR PARTICULATE MATTER IN URBAN ENVIRONMENT,ON THE RELATIONSHIP BETWEEN LANDSCAPE ECOLOGICAL PATTERNS AND WATER QUALITY ACROSS GRADIENT ZONES OF RAPID URBANIZATION IN COASTAL CHINA,10.1007/S11356-019-05160-8,in,10.1016/J.ATMOSENV.2015.08.087,KARAGULIAN,2015
AN ULTRA-SPATIALLY RESOLVED METHOD TO QUALI-QUANTITATIVE MONITOR PARTICULATE MATTER IN URBAN ENVIRONMENT,"GEOCHEMISTRY AND CARBON ISOTOPIC RATIO FOR ASSESSMENT OF PM10 COMPOSITION, SOURCE AND SEASONAL TRENDS IN URBAN ENVIRONMENT",10.1007/S11356-019-05160-8,in,10.1088/1755-1315/118/1/012019,RUSYDI,2018
AN URBAN STREAM CAN SUPPORT A HEALTHY POPULATION OF COASTAL CUTTHROAT TROUT,SEASONAL POPULATION DYNAMICS OF THE AUSTRALIAN WHITE IBIS (THRESKIORNIS MOLUCCA) IN URBAN ENVIRONMENTS,10.1007/S11252-017-0711-0,in,,SMITH,2010
APPLICATION OF COASTAL VEGETATION TO GREEN ROOFS OF RESIDENTIAL BUILDINGS IN TAIWAN,5-YEAR STUDY OF RAINWATER CHEMISTRY IN A COASTAL MEGA-CITY IN SOUTH CHINA,10.1007/S10015-015-0199-8,in,,HUANG,2010
ASSESSING AND MAPPING REGIONAL COASTAL VULNERABILITY FOR PORT ENVIRONMENTS AND COASTAL CITIES,"THE HINGE AREAS FOR URBAN REGENERATION IN SEASIDE CITIES: THE HIGH LINE IN MANHATTAN, NYC",10.1007/S11852-018-0636-7,for,10.1016/J.OCECOAMAN.2013.09.007,SPALDING,2014
ASSESSING THE ROLE OF PARAMETER AND INPUT UNCERTAINTY IN ECOHYDROLOGIC MODELING: IMPLICATIONS FOR A SEMI-ARID AND URBANIZING COASTAL CALIFORNIA CATCHMENT,"TRACE METAL DISTRIBUTION IN SEDIMENTS OF THE PEARL RIVER ESTUARY AND THE SURROUNDING COASTAL AREA, SOUTH CHINA",10.1007/S10021-012-9545-Z,in,,IPCC,2007
